content,translation
王 立 于 沼 上 ，,梁 惠 王 站 在 池 塘 边 上 ，
王 立 于 沼 上 ， 顾 鸿 雁 麋 鹿 ，,梁 惠 王 站 在 池 塘 边 上 ， 一 面 顾 盼 着 鸿 雁 麋 鹿 ，
王 立 于 沼 上 ， 顾 鸿 雁 麋 鹿 ， 曰 ：,梁 惠 王 站 在 池 塘 边 上 ， 一 面 顾 盼 着 鸿 雁 麋 鹿 ， 一 面 说 ：
顾 鸿 雁 麋 鹿 ，,一 面 顾 盼 着 鸿 雁 麋 鹿 ，
顾 鸿 雁 麋 鹿 ， 曰 ：,一 面 顾 盼 着 鸿 雁 麋 鹿 ， 一 面 说 ：
顾 鸿 雁 麋 鹿 ， 曰 ： 贤 者 亦 乐 此 乎 ？,一 面 顾 盼 着 鸿 雁 麋 鹿 ， 一 面 说 ： 贤 人 也 以 此 为 乐 吗 ？
曰 ：,一 面 说 ：
曰 ： 贤 者 亦 乐 此 乎 ？,一 面 说 ： 贤 人 也 以 此 为 乐 吗 ？
贤 者 亦 乐 此 乎 ？,贤 人 也 以 此 为 乐 吗 ？
孟 子 对 曰 ：,孟 子 回 答 说 ：
孟 子 对 曰 ： 贤 者 而 后 乐 此 ，,孟 子 回 答 说 ： 正 因 为 是 贤 人 才 能 够 以 次 为 乐 ，
孟 子 对 曰 ： 贤 者 而 后 乐 此 ， 不 贤 者 虽 有 此 ，,孟 子 回 答 说 ： 正 因 为 是 贤 人 才 能 够 以 次 为 乐 ， 不 贤 的 人 就 算 有 这 些 东 西 ，
贤 者 而 后 乐 此 ，,正 因 为 是 贤 人 才 能 够 以 次 为 乐 ，
贤 者 而 后 乐 此 ， 不 贤 者 虽 有 此 ，,正 因 为 是 贤 人 才 能 够 以 次 为 乐 ， 不 贤 的 人 就 算 有 这 些 东 西 ，
贤 者 而 后 乐 此 ， 不 贤 者 虽 有 此 ， 不 乐 也 。,正 因 为 是 贤 人 才 能 够 以 次 为 乐 ， 不 贤 的 人 就 算 有 这 些 东 西 ， 也 不 能 够 快 乐 的 。
不 贤 者 虽 有 此 ，,不 贤 的 人 就 算 有 这 些 东 西 ，
不 贤 者 虽 有 此 ， 不 乐 也 。,不 贤 的 人 就 算 有 这 些 东 西 ， 也 不 能 够 快 乐 的 。
不 乐 也 。,也 不 能 够 快 乐 的 。
诗 云 ：,《 诗 经 》 说 ：
诗 云 ： 经 始 灵 台 ，,《 诗 经 》 说 ： 开 始 规 划 造 灵 台 ，
诗 云 ： 经 始 灵 台 ， 经 之 营 之 ，,《 诗 经 》 说 ： 开 始 规 划 造 灵 台 ， 仔 细 营 造 巧 安 排 。
经 始 灵 台 ，,开 始 规 划 造 灵 台 ，
经 始 灵 台 ， 经 之 营 之 ，,开 始 规 划 造 灵 台 ， 仔 细 营 造 巧 安 排 。
经 始 灵 台 ， 经 之 营 之 ， 庶 民 攻 之 ，,开 始 规 划 造 灵 台 ， 仔 细 营 造 巧 安 排 。 天 下 百 姓 都 来 干 ，
经 之 营 之 ，,仔 细 营 造 巧 安 排 。
经 之 营 之 ， 庶 民 攻 之 ，,仔 细 营 造 巧 安 排 。 天 下 百 姓 都 来 干 ，
经 之 营 之 ， 庶 民 攻 之 ， 不 日 成 之 。,仔 细 营 造 巧 安 排 。 天 下 百 姓 都 来 干 ， 几 天 建 成 速 度 快 。
庶 民 攻 之 ，,天 下 百 姓 都 来 干 ，
庶 民 攻 之 ， 不 日 成 之 。,天 下 百 姓 都 来 干 ， 几 天 建 成 速 度 快 。
不 日 成 之 。,几 天 建 成 速 度 快 。
经 始 勿 亟 ，,建 台 本 来 不 着 急 ，
经 始 勿 亟 ， 庶 民 子 来 。,建 台 本 来 不 着 急 ， 百 姓 起 劲 自 动 来 ，
庶 民 子 来 。,百 姓 起 劲 自 动 来 ，
王 在 灵 囿 ，,国 王 游 览 灵 园 中 ，
王 在 灵 囿 ， 麀 鹿 攸 伏 ，,国 王 游 览 灵 园 中 ， 母 鹿 伏 在 深 草 丛 。
王 在 灵 囿 ， 麀 鹿 攸 伏 ， 麀 鹿 濯 濯 ，,国 王 游 览 灵 园 中 ， 母 鹿 伏 在 深 草 丛 。 母 鹿 肥 大 毛 色 润 ，
麀 鹿 攸 伏 ，,母 鹿 伏 在 深 草 丛 。
