translations,translation,modern_translation
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：范 仲 淹 二 岁 而 孤 ，
    
    参考翻译结果：
    ",范 仲 淹 二 岁 的 时 候 成 了 孤 儿 。,范 仲 才 在 二 岁 才 被 孤 弃 ， 他 几 乎 忘
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：范 仲 淹 二 岁 而 孤 ， 母 贫 无 靠 ，
    
    参考翻译结果：
    ",范 仲 淹 二 岁 的 时 候 成 了 孤 儿 。 母 亲 很 穷 ， 没 有 依 靠 。,年 岁 二 岁 才 孤 单 ， 母 亲 贫 穷 ， 不 敢 挟 着 他 们 ， 拿 着 鞋 子 ， 拿 着 盆 栏 ， 拿 着 各 有 东 西 ， 拿
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：范 仲 淹 二 岁 而 孤 ， 母 贫 无 靠 ， 再 适 常 山 朱 氏 。
    
    参考翻译结果：
    ",范 仲 淹 二 岁 的 时 候 成 了 孤 儿 。 母 亲 很 穷 ， 没 有 依 靠 。 就 改 嫁 到 了 常 山 的 朱 家 。,国 范 仲 东 子 孟 子 洪 水 二 岁 时 孤 儿 ， 母 亲 贫 穷 ， 后 来 又 能 够 适 度 地 侍 候 于 山 朱 子 ， 这
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：母 贫 无 靠 ，
    
    参考翻译结果：
    ",母 亲 很 穷 ， 没 有 依 靠 。,"母 亲 恭 恭 不 鞠 板 ， 没 有 权 力 相 比 ,
    
    另外的翻译结果：
    母 亲 恭 恭 不 相 当 ， 没 有 能 够 与 他 相 比 ，
    
    参考翻译结果参考答案：
    母 亲 恭 �"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：母 贫 无 靠 ， 再 适 常 山 朱 氏 。
    
    参考翻译结果：
    ",母 亲 很 穷 ， 没 有 依 靠 。 就 改 嫁 到 了 常 山 的 朱 家 。,"现 在 母 亲 们 们 们 是 贫 富 很 差 的 ， 我 们 只 有 适 够 的 山 地 居 住 地 方 ， 周 密 地 安 邠 族 的 人 。
    
    参考翻译结果中的语法错误部分是：
    现 在 母 �"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：再 适 常 山 朱 氏 。
    
    参考翻译结果：
    ",就 改 嫁 到 了 常 山 的 朱 家 。,"一 次 再 有 所 不 适 忍 佛 的 山 ， 朱 子 的 阻 止 不 断 绝 。
    
    参考翻译结果参考答案 说 ：
    再 有 一 面 适 够 的 山 ， 朱 子 的 阻 挡 不 断 绝 了 。
    
    参�����"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：既 长 ，
    
    参考翻译结果：
    ",长 大 以 后 ，,"是 已 长  Development ，
    是 已 长 的 国 家 ，
    是 已 长 的 国 家 ，
    是 已 长 的 国 家 ，
    是 已 长 的 国 家 ，
    是 已 长 的 国 家 ，
    是 已 长 的 国 家 ，
    是 已 长 的 国 家 ，
    是 已 长 的 国 家 ，
    是 已 长 的 国 家 ，
    是"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：既 长 ， 知 其 世 家 ，
    
    参考翻译结果：
    ",长 大 以 后 ， 知 道 了 自 己 的 生 世 ，,已 长 了 ， 知 道 自 己 的 世 家 ， 就 可 以 离 开 了 ， 不 用 担 心 。
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：既 长 ， 知 其 世 家 ， 感 泣 辞 母 ，
    
    参考翻译结果：
    ",长 大 以 后 ， 知 道 了 自 己 的 生 世 ， 含 着 眼 泪 告 别 母 亲 ，,"已 况 的 长 官 ， 知 道 自 己 的 世 家 将 要 灭 终 ， 感 叹 而 哭 辞 藐 离 ，
    
    参考翻译结果 2：
    长 官 已 经 受 了 太 多 很 长 的 劳"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：既 长 ， 知 其 世 家 ， 感 泣 辞 母 ， 去 之 南 都 入 学 舍 。
    
    参考翻译结果：
    ",长 大 以 后 ， 知 道 了 自 己 的 生 世 ， 含 着 眼 泪 告 别 母 亲 ， 离 开 去 应 天 府 的 南 都 学 舍 读 书 。,已 长 了 ， 知 道 自 己 要 去 学 习 ， 感 叹 着 诗 词 语 ， 离 开 快 乐 的 世 家 ， 离 开 快 乐 的 国 家 ， 离 开 快
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：知 其 世 家 ，
    
    参考翻译结果：
    ",知 道 了 自 己 的 生 世 ，,"知 道 自 己 的 世 家 ， 那 就 不 怎 么 办 了 呢 ？ ， 我 们 要 去 爱 民 ， 不 要 去 爱 自 己 的 世 家 ， 不 然 好 啊 。
    
    参考翻译结果 2 ：
    如 果 知 道 自 己 的 世 家 ， 那 就 不 知"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：知 其 世 家 ， 感 泣 辞 母 ，
    
    参考翻译结果：
    ",知 道 了 自 己 的 生 世 ， 含 着 眼 泪 告 别 母 亲 ，,知 道
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：知 其 世 家 ， 感 泣 辞 母 ， 去 之 南 都 入 学 舍 。
    
    参考翻译结果：
    ",知 道 了 自 己 的 生 世 ， 含 着 眼 泪 告 别 母 亲 ， 离 开 去 应 天 府 的 南 都 学 舍 读 书 。,"知 道 自 己 的 世 家 ， 感 受 到 诗 词 叫 叫 而 流 泪 ， 离 开 他 们 后 一 年 去 到 南 天 国 学 得 很 高 ，
    
    参考翻译结果二：
    知"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：感 泣 辞 母 ，
    
    参考翻译结果：
    ",含 着 眼 泪 告 别 母 亲 ，,"是 感 泄 辞 猛 妻 ， 牵 动 心 慌 慌 ， 猜 测 是 诗 句 吧 ， 我 也 猜 测 是 诗 句 啊 ， 但 是 不 能 够 把 心 慌 慌 猛 妻 吧 ，
    翻译结"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：感 泣 辞 母 ， 去 之 南 都 入 学 舍 。
    
    参考翻译结果：
    ",含 着 眼 泪 告 别 母 亲 ， 离 开 去 应 天 府 的 南 都 学 舍 读 书 。,"感 动 到 泪 水 流 萁 ， 离 开 后 就 迁 到 南 方 的 大 都  ， 上 学 到 巧 趋 筑 。
    
    参考翻译结果参考答案 结果：
    受 动 至 于 诗 词"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：去 之 南 都 入 学 舍 。
    
    参考翻译结果：
    ",离 开 去 应 天 府 的 南 都 学 舍 读 书 。,"一 年 四 季 才 够 离 开 ， 离 开 后 就 赶 快 上 学 。 
    
    参考翻译结果参考答案 3 ：
    一 年 四 季 才 见 到 学 校 ， 离 开 学 校 后 就 快 乐 起 来 上 学 。
    
    参"
"请将以下文言文句子翻译为现代汉语，并确保翻译结果通顺流畅，语法正确：

    文言文句子：昼 夜 苦 学 ，
    
    参考翻译结果：
    ",白 天 、 深 夜 都 认 真 读 书 。,"昼 夜 都 学 坏 倍 劳 劳 糊 糊 地 学 习 ， 学 不 倒 缩 ，
    
    另外 的 翻 译 结 果： 午 时 和 傍 晚 都 学 不 倒 缩 ， 都 会 劳 劳 糊 糊 地 学 习 ，"
