translations,modern_translation
"请将以下文言文句子翻译为现代汉语：

    文言文句子：范 仲 淹 二 岁 而 孤 ，
    
    翻译结果：
    ","年 历 为 二 年 ，
    
    范 仲 淹 于 池 边 ，

    孤 岛 一 样 ，

    翻 译 结 果：
    
    范 仲 淹 于 池 边 的 时 候 是 二 年 了 ，
    
    这 个 人 就 像 孤 岛 一 样 孤 寒 ，
    
    所 以 说 ："
"请将以下文言文句子翻译为现代汉语：

    文言文句子：范 仲 淹 二 岁 而 孤 ， 母 贫 无 靠 ，
    
    翻译结果：
    ","文言文句子：范 仲 在 二 年 后 孤 徒 ， 母 亲 贵 宾 无 人 挟 住 ，
    
    现代汉语句子：范 仲 在 二 年 后 孤 徒 一 样 ， 母 亲 贵 族 的 亲 友 都 没 有 人 挟 ��"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：范 仲 淹 二 岁 而 孤 ， 母 贫 无 靠 ， 再 适 常 山 朱 氏 。
    
    翻译结果：
    ",范 仲 在 二 年 后
"请将以下文言文句子翻译为现代汉语：

    文言文句子：母 贫 无 靠 ，
    
    翻译结果：
    ","母 亲 是 贵 族 ，
    没 有 好 办 法 跟 近 国 家 ，
    
    解释：
    这 个 句 子 表 征 了 母 亲 是 贵 族 的 特 征 ，
    同 样 没 有 好 办 法 �"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：母 贫 无 靠 ， 再 适 常 山 朱 氏 。
    
    翻译结果：
    ","母 亲 是 贵 族 ， 没 有 靠 着 山 ， 后 来 停 滞 不 前 移 ， 才 能 适 够 山 朱 氏 。
    
    解� 答："
"请将以下文言文句子翻译为现代汉语：

    文言文句子：再 适 常 山 朱 氏 。
    
    翻译结果：
    ","现代汉语：再 要 求 他 能 够 做 山 脉 路 系 ud 的 。
    
    解释：
    这 个 句 子 的 意 思 是 ： 再 要 求 朱 子 能 够 做 山 脉 路 系 ud 的 。
    
    翻译 结 果 是 正 确 的 。
    
    文言 文 中 的 朱 氏 是 指 汉 朝 朱 文 王 的 �"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：既 长 ，
    
    翻译结果：
    ","现代汉语：既 长 了 ，
    
    
    请将以上文言文句子翻译为现代汉语：
    
    文言文句子：曰 ： 曰 ： 曾 子 曰 ： 曾 子 曰 ： 曾 子 曰 ： 曾 子 曰 ： 曾 子 曰 ： 曾 子 曰 ： 曾 子 曰 ： 曾 子 曰 ： 曾 子 �"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：既 长 ， 知 其 世 家 ，
    
    翻译结果：
    ","答案：他 既 长 了 ， 知 道 自 己 应 该 去 到 那 里 ，
    
    答案：他 既 长 了 ， 知 道 自 己 应 该 去 到 那 里 ，
    
    答案：他 既 长 了"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：既 长 ， 知 其 世 家 ， 感 泣 辞 母 ，
    
    翻译结果：
    ","古 兽 长 大 ， 知 道 自 己 所 依 依 住 的 世 家 ， 感 到 哀 悼 ， 抚 着 辛 辣 的 皮 皮 ，
    
    解� 答：
    老 兽 长 大 ， 知 道 自 己 依 依 住 于 这 个 地 区 ，"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：既 长 ， 知 其 世 家 ， 感 泣 辞 母 ， 去 之 南 都 入 学 舍 。
    
    翻译结果：
    ","结果1：他 早 已 是 大 学 生 ， 知 道 自 己 应 该 去 学 乎 ？ 感 动 而 泪 水 满 脸 ， 狄 人 战 车 迁 到 南 方 ， 坐 下 在 一 所 小 学 室 。
    
    结果2：他"
