translations,modern_translation
"请将以下文言文句子翻译为现代汉语：

    文言文句子：王 立 于 沼 上 ，
    
    翻译结果：
    ","答案 5：
    
    ����"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：王 立 于 沼 上 ， 顾 鸿 雁 麋 鹿 ，
    
    翻译结果：
    ","现代汉语：王 为 了 养 育 珍 禽 异 兽 ， 害 怕 顾 鸿 雁 麋 鹿 ，
    
    解释：
    
    这 个 句 子 的 意 思 是 王 国 的 君 子 养 养 珍 禽 异 兽 ， 因 为 这 些 珍"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：王 立 于 沼 上 ， 顾 鸿 雁 麋 鹿 ， 曰 ：
    
    翻译结果：
    ","文言文句子：周 武 王 站 在 池 塘 上 ， 顾 鸿 雁 麋 鹿 掘 土 地 ， 说 ：
    
    现代汉语句子：周 武 王 站 在 池 塘 边 上 ， 顾 鸿 雁 麋 鹿 一 起 掘 土 地 ， 说 ："
"请将以下文言文句子翻译为现代汉语：

    文言文句子：顾 鸿 雁 麋 鹿 ，
    
    翻译结果：
    ",你 能 够 忍 耐 吗 ？ 顾
"请将以下文言文句子翻译为现代汉语：

    文言文句子：顾 鸿 雁 麋 鹿 ， 曰 ：
    
    翻译结果：
    ",【 正 确 ��
"请将以下文言文句子翻译为现代汉语：

    文言文句子：顾 鸿 雁 麋 鹿 ， 曰 ： 贤 者 亦 乐 此 乎 ？
    
    翻译结果：
    ","现代汉语：顾 鸿 雁 麋 鹿 ， 说 ： 贤 人 也 会 喜 欢 这 样 啊 呢 ？
    
    解释：
    
    顾 鸿 雁 麋 鹿 是 一 个 具 有 强 大 的 动 物 的 叫 声 ， 这"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：曰 ：
    
    翻译结果：
    ","文言文句子：曰 ：
    
    �����"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：曰 ： 贤 者 亦 乐 此 乎 ？
    
    翻译结果：
    ","李 贤 说 ： 贤 人 也 会 喜 欢 这 样 吧 ？
    
    请将以上文言文句子翻译为现代汉语：
    
    文言文句子：曰 ： 贤 者 亦 乐"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：贤 者 亦 乐 此 乎 ？
    
    翻译结果：
    ",助理答案：是
"请将以下文言文句子翻译为现代汉语：

    文言文句子：孟 子 对 曰 ：
    
    翻译结果：
    ","孟 子 回 答 说 ：
    
    现代汉语表述：孟 子 回 答 ：
    
    孟 子 回 答 说 ：
    
    （孟 子 回 答 说 ： 孟 子 回 答 说 ： ）
    
    （孟"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：孟 子 对 曰 ： 贤 者 而 后 乐 此 ，
    
    翻译结果：
    ",孟 子 回 答 ： 贤
"请将以下文言文句子翻译为现代汉语：

    文言文句子：孟 子 对 曰 ： 贤 者 而 后 乐 此 ， 不 贤 者 虽 有 此 ，
    
    翻译结果：
    ","孟 子 回 答 说 ： 贤 人 就 喜 欢 这 个 事 物 ， 不 贤 人 却 有 这 个 事 物 ，
    
    解释：
    孟 子 回 答 说 贤 人 就 喜 欢 这 个 事 物 ， 而 不 贤 人 却 有 这 个"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：贤 者 而 后 乐 此 ，
    
    翻译结果：
    ","结果：贤 人 才 能 以 后 来 觉 齿 轮 兴 荣 ，
    
    这 个 翻 译 结 果 正 确 ，
    
    翻 译 结 果 为 ：贤 人 才 能 以 后 来 觉 得 好 ，
    
    这 个 翻 译 结 果 不 正 确 ，
    
    正 确 翻 译 结 果 为 ：
    
    结"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：贤 者 而 后 乐 此 ， 不 贤 者 虽 有 此 ，
    
    翻译结果：
    ","结 果 为 ：贤 人 就 会 感 兴 趣 于 这 个 事 物 ， 不 贤 人 却 有 这 个 事 物 ，
    
    翻译 后 的 文言 句 子 结 果 为 ：贤 人 就 会 喜 悦 于 这 个 事 物 ， 而 不 贤 人 却 也 会 感 兴 �"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：贤 者 而 后 乐 此 ， 不 贤 者 虽 有 此 ， 不 乐 也 。
    
    翻译结果：
    ",贤 人 就 会 感 兴 悦 地 停 下 来 ， 不 贤 人 却 有
"请将以下文言文句子翻译为现代汉语：

    文言文句子：不 贤 者 虽 有 此 ，
    
    翻译结果：
    ","不 贤 的 人 也 能 够 战 车 、 衣 服 、 服 饰 、 衣 服 等 种 类 的 服 装 ，
    
    �"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：不 贤 者 虽 有 此 ， 不 乐 也 。
    
    翻译结果：
    ","结果1：不 贤 的 人 总 是 会 执 行 这 条 条 礼 规 ， 不 会 感 受 骗 谈 的 乐 趣 。
    
    结果2：不 贤 的 人 总 是 会 忘 意 礼 规 ， 不 会 感 受 骗 谈 的 快 乐 。
    
    ����"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：不 乐 也 。
    
    翻译结果：
    ","4 ：
    
    现代汉语：不 能 够 满 够 �"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：诗 云 ：
    
    翻译结果：
    ","文言文句子：
    
    
    文言文句子：
    
    
    文言文句子：
    
    
    文言文句子：
    
    
    文言文句子：
    
    
    文言文句子：
    
    
    文言文句子：
    
    
    文言文句子：
    
    
    文言文句子：
    
    
    文言文句子：
    
    
    文言文句子：
    
    
    文言文句子：
    
    
    文言"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：诗 云 ： 经 始 灵 台 ，
    
    翻译结果：
    ","《 诗 经 》 说 ： 开 始 规 划 ，
    
    翻译结果为：《 诗 经 》 说 ： 开 始 规 划 ，
    
    翻译结果为：《 诗 经 》 说 ： 开 始 规 划 ，"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：诗 云 ： 经 始 灵 台 ， 经 之 营 之 ，
    
    翻译结果：
    ","《 诗 经 》 说 ： 天 下 始 终 ， 天 下 始 终 ，
    
    翻译结果是：《 诗 经 》 说 ： 天 下 就 是 一 个 个 ， 天 下 就 是"
"请将以下文言文句子翻译为现代汉语：

    文言文句子：经 始 灵 台 ，
    
    翻译结果：
    ",从 开 始 规 划 灵 台 ，
"请将以下文言文句子翻译为现代汉语：

    文言文句子：经 始 灵 台 ， 经 之 营 之 ，
    
    翻译结果：
    ","灵 台 是 经 始 的 ， 是 一 种 营 战 形 式 ， 比 较 小 规 模 ， 有 时 也 会 营 战 仗 着 兵 ，
     灵 台 是 经 始 的 ，"
