translation,modern_translation,bleu_score,bleurt_score,bert_score
范 仲 淹 二 岁 的 时 候 成 了 孤 儿 。,范 仲 在 二 年 后 孤 徒 一 样 ，,5.4309575618213126e-155,0.3881765007972717,0.6777648329734802
范 仲 淹 二 岁 的 时 候 成 了 孤 儿 。 母 亲 很 穷 ， 没 有 依 靠 。,范 仲 在 二 年 后 送 律 校 园 ， 母 亲 是,3.974297471534681e-155,0.2188655436038971,0.6785467267036438
范 仲 淹 二 岁 的 时 候 成 了 孤 儿 。 母 亲 很 穷 ， 没 有 依 靠 。 就 改 嫁 到 了 常 山 的 朱 家 。,范 仲 淹 到 二 年 后 孤 孑 一 样 ， 母 亲 贵 族 没 有 靠 面 ， 最 爱 好 自 己 的 山 地 是 朱 子 家 。,2.694046766584696e-78,0.3792320489883423,0.7060216665267944
母 亲 很 穷 ， 没 有 依 靠 。,母 亲 贵 族 没 有 亲 爱 地 贵 爱 ，,7.825799788115097e-155,0.2319548428058624,0.6987352967262268
母 亲 很 穷 ， 没 有 依 靠 。 就 改 嫁 到 了 常 山 的 朱 家 。,母 亲 是 贵 族 ， 没 有 靠 俗 的 ， 后 来 却 是 一,2.5854667314211484e-78,0.2891483902931213,0.6800456047058105
就 改 嫁 到 了 常 山 的 朱 家 。,再 要 求 山 地 的 适 度 差 别 ，,1.1896457329133973e-231,0.1014146506786346,0.5903384685516357
长 大 以 后 ，,他 已 经 长 了 ，,1.384292958842266e-231,0.5661937594413757,0.6433541178703308
长 大 以 后 ， 知 道 了 自 己 的 生 世 ，,既 长 了 ， 知 道 自 己 所 住 的 地 方 是 世 间 不 同 的 ，,3.1430580059061547e-78,0.4914901256561279,0.7109603881835938
长 大 以 后 ， 知 道 了 自 己 的 生 世 ， 含 着 眼 泪 告 别 母 亲 ，,又 是 长 辈 ， 知 道 自 己 所 住 的 地 方 是 世 间 最 大 的 ， 感 动 而 泪 水 营 造 词 语 ，,2.3344871967529744e-78,0.3348434269428253,0.6669284701347351
长 大 以 后 ， 知 道 了 自 己 的 生 世 ， 含 着 眼 泪 告 别 母 亲 ， 离 开 去 应 天 府 的 南 都 学 舍 读 书 。,既 是 长 辈 ， 知 道 自 己 所 住 的 地 方 是 南 方 ， 感 到 哀 悼 ， 急 切 待 下 一 年 的 学 室 ， 去 迁 到 那,2.0771085446972209e-78,0.2747189700603485,0.6469660401344299
知 道 了 自 己 的 生 世 ，,知 彼 的 世 家 ，,9.98477465632745e-232,0.3707852363586426,0.6505361795425415
知 道 了 自 己 的 生 世 ， 含 着 眼 泪 告 别 母 亲 ，,知 彼 所 处 的 世 界 ， 感 到 哀 悼 ， 泪 珠 碎 地 执 着 《 子 》 的 文 言 ，,1.3123192414312068e-231,0.3484512865543365,0.6517187356948853
知 道 了 自 己 的 生 世 ， 含 着 眼 泪 告 别 母 亲 ， 离 开 去 应 天 府 的 南 都 学 舍 读 书 。,知 彼 所 处 的 世 界 ， 感 到 哀 悼 ， 急 切 求 尽 学 课 堂 ， 去 迁 到 南 方 的 大 都 市 。,1.3614652847208112e-231,0.4055925011634826,0.6465231776237488
含 着 眼 泪 告 别 母 亲 ，,感 到 哀 痛 ，,5.474320712955125e-232,0.3902269601821899,0.6399829983711243
含 着 眼 泪 告 别 母 亲 ， 离 开 去 应 天 府 的 南 都 学 舍 读 书 。,凭 仗 着 辞 谚 一 笔 ， 去 迁 到 南 都 大 学 学 住 下 来 。,4.729951137105206e-155,0.215995967388153,0.6829161047935486
离 开 去 应 天 府 的 南 都 学 舍 读 书 。,去 往 南 都 市 宋 国 君 宋 国 君 都 来 到 学 院 。,5.4925306713204074e-155,0.3760141730308532,0.6631457209587097
白 天 、 深 夜 都 认 真 读 书 。,卧 梧 苦 学 ，,0.0,0.2808606028556824,0.6263415217399597
白 天 、 深 夜 都 认 真 读 书 。 五 年 中 ， 竟 然 没 有 曾 经 脱 去 衣 服 上 床 睡 觉 。,昼 夜 学 ， 五 年 没 有 找 出 怎 么 做 才 正 确 尴 尬 ， 就 很 快 就 睡 觉 了 。,5.911176626193641e-155,0.2889175415039062,0.6474467515945435
五 年 中 ， 竟 然 没 有 曾 经 脱 去 衣 服 上 床 睡 觉 。,五 年 没 有 试 着 各 种 衣 服 就 好 很 贵 宜 睡 觉 。,3.5772674659794596e-78,0.272342324256897,0.7032296657562256
有 时 夜 里 感 到 昏 昏 欲 睡 ，,却 是 晚 饭 太 晚 了 ，,7.445183326929416e-232,0.3386121392250061,0.6049830913543701
有 时 夜 里 感 到 昏 昏 欲 睡 ， 往 往 把 水 浇 在 脸 上 。,别 总 是 晚 夜 昏 昏 ， 干 劲 地 善 用 水 肥 土 。,4.818674597335635e-155,0.2780624330043793,0.6509409546852112
往 往 把 水 浇 在 脸 上 。,宋 辄 沃 绿 水 面 ，,8.416851712392762e-232,0.1423850655555725,0.6128634214401245
什 么 也 不 吃 ，,很 糊 了 糖 水 ，,1.1640469867513693e-231,0.0908015817403793,0.6054728627204895
什 么 也 不 吃 ， 直 到 日 头 偏 西 才 吃 一 点 东 西 。 就 这 样 ，,糖 水 太 多 了 ，,6.846513658671787e-233,0.0899449288845062,0.5824880003929138
什 么 也 不 吃 ， 直 到 日 头 偏 西 才 吃 一 点 东 西 。 就 这 样 ， 他 领 悟 了 六 经 的 主 旨 ，,往 往 吃 糖 粥 不 充 全 ， 易 老 弱 的 人 开 始 吃 正 面 面 食 ， 终 于 迅 速 通 着 六 经 ，,4.386247231376851e-155,0.2014238238334655,0.6266422271728516
什 么 也 不 吃 ， 直 到 日 头 偏 西 才 吃 一 点 东 西 。 就 这 样 ， 他 领 悟 了 六 经 的 主 旨 ， 后 来 又 立 下 了 造 福 天 下 的 志 向 。,征 征 吃 糼 糜 的 粥 不 充 全 ， 易 变 坚 固 起 尧 始 吃 粮 食 ， 终,4.5860345943465166e-232,0.0643722340464592,0.5820309519767761
直 到 日 头 偏 西 才 吃 一 点 东 西 。 就 这 样 ，,一 天 起 早 开 吃 饭 ，,4.6284422396541125e-232,0.0990451648831367,0.6022895574569702
直 到 日 头 偏 西 才 吃 一 点 东 西 。 就 这 样 ， 他 领 悟 了 六 经 的 主 旨 ，,日 昃 起 废 弃 旧 有 法 度 ， 终 矣 能 通 當 六 经 ，,3.234723168997229e-155,0.2363653481006622,0.6254034638404846
直 到 日 头 偏 西 才 吃 一 点 东 西 。 就 这 样 ， 他 领 悟 了 六 经 的 主 旨 ， 后 来 又 立 下 了 造 福 天 下 的 志 向 。,庆 乐 起 底 壳 ， 终 于 充 实 六 经 ， 感 兴 动 有 志 向 向 天 下 。,3.2778787855722814e-155,0.251871258020401,0.6485630869865417
他 领 悟 了 六 经 的 主 旨 ，,然 后 广 泛 宣 教 六 经 ，,6.030654703641957e-155,0.4913718104362488,0.7200818061828613
他 领 悟 了 六 经 的 主 旨 ， 后 来 又 立 下 了 造 福 天 下 的 志 向 。,终 于 能 够 通 过 六 经 的 大 门 ， 感 动 得 有 志 向 向 天 下 。,2.786200871316095e-78,0.5945210456848145,0.7021214962005615
后 来 又 立 下 了 造 福 天 下 的 志 向 。,感 觉 有 志 于 天 下 的 人 。,2.8105103630508324e-78,0.4502567052841186,0.6790531873703003
