translation,modern_translation,bleu_score,bleurt_score,bert_score
梁 惠 王 站 在 池 塘 边 上 ，,答案 5：,0.0,0.03122244030237198,0.4955524802207947
梁 惠 王 站 在 池 塘 边 上 ， 一 面 顾 盼 着 鸿 雁 麋 鹿 ，,现代汉语：王 为 了 养 育 珍 禽 异 兽 ， 害 怕 顾 鸿 雁 麋 鹿 ，,0.1956992723880123,0.3408253788948059,0.6851028800010681
梁 惠 王 站 在 池 塘 边 上 ， 一 面 顾 盼 着 鸿 雁 麋 鹿 ， 一 面 说 ：,文言文句子：周 武 王 站 在 池 塘 上 ， 顾 鸿 雁 麋 鹿 掘 土 地 ， 说 ：,0.2974206406250954,0.418010950088501,0.7706787586212158
一 面 顾 盼 着 鸿 雁 麋 鹿 ，,你 能 够 忍 耐 吗 ？ 顾,8.436497969708995e-232,0.06993987411260605,0.5648816823959351
一 面 顾 盼 着 鸿 雁 麋 鹿 ， 一 面 说 ：,【 正 确 ��,0.0,0.07855628430843353,0.4488564729690552
一 面 顾 盼 着 鸿 雁 麋 鹿 ， 一 面 说 ： 贤 人 也 以 此 为 乐 吗 ？,现代汉语：顾 鸿 雁 麋 鹿 ， 说 ： 贤 人 也 会 喜 欢 这 样 啊 呢 ？,0.3144809253417624,0.6391265392303467,0.7301622629165649
一 面 说 ：,文言文句子：曰 ：,5.635809992474887e-232,0.3943672180175781,0.5893122553825378
一 面 说 ： 贤 人 也 以 此 为 乐 吗 ？,李 贤 说 ： 贤 人 也 会 喜 欢 这 样 吧 ？,0.27824623288353134,0.6673654317855835,0.7724907994270325
贤 人 也 以 此 为 乐 吗 ？,助理答案：是,0.0,0.05062979459762573,0.5110276937484741
孟 子 回 答 说 ：,孟 子 回 答 说 ：,1.0,1.0024054050445557,1.0
孟 子 回 答 说 ： 正 因 为 是 贤 人 才 能 够 以 次 为 乐 ，,孟 子 回 答 ： 贤,0.054531344915185485,0.28803160786628723,0.714448869228363
孟 子 回 答 说 ： 正 因 为 是 贤 人 才 能 够 以 次 为 乐 ， 不 贤 的 人 就 算 有 这 些 东 西 ，,孟 子 回 答 说 ： 贤 人 就 喜 欢 这 个 事 物 ， 不 贤 人 却 有 这 个 事 物 ，,0.22704811378116416,0.5382162928581238,0.7755728960037231
正 因 为 是 贤 人 才 能 够 以 次 为 乐 ，,结果：贤 人 才 能 以 后 来 觉 齿 轮 兴 荣 ，,3.1246366261113716e-78,0.5745849609375,0.664543867111206
正 因 为 是 贤 人 才 能 够 以 次 为 乐 ， 不 贤 的 人 就 算 有 这 些 东 西 ，,结 果 为 ：贤 人 就 会 感 兴 趣 于 这 个 事 物 ， 不 贤 人 却 有 这 个 事 物 ，,2.906012374846924e-78,0.49140113592147827,0.6962414979934692
正 因 为 是 贤 人 才 能 够 以 次 为 乐 ， 不 贤 的 人 就 算 有 这 些 东 西 ， 也 不 能 够 快 乐 的 。,贤 人 就 会 感 兴 悦 地 停 下 来 ， 不 贤 人 却 有,1.337100587898188e-78,0.24617107212543488,0.6513804197311401
不 贤 的 人 就 算 有 这 些 东 西 ，,不 贤 的 人 也 能 够 战 车 、 衣 服 、 服 饰 、 衣 服 等 种 类 的 服 装 ，,0.09970222994544457,0.2872491478919983,0.6840298175811768
不 贤 的 人 就 算 有 这 些 东 西 ， 也 不 能 够 快 乐 的 。,结果1：不 贤 的 人 总 是 会 执 行 这 条 条 礼 规 ， 不 会 感 受 骗 谈 的 乐 趣 。,2.3210498204862397e-78,0.29765769839286804,0.6891060471534729
也 不 能 够 快 乐 的 。,4 ：,0.0,-0.0025811493396759033,0.4915718734264374
《 诗 经 》 说 ：,文言文句子：,0.0,0.5234012603759766,0.601270854473114
《 诗 经 》 说 ： 开 始 规 划 造 灵 台 ，,《 诗 经 》 说 ： 开 始 规 划 ，,0.69635477890704,0.5713452100753784,0.920078694820404
《 诗 经 》 说 ： 开 始 规 划 造 灵 台 ， 仔 细 营 造 巧 安 排 。,《 诗 经 》 说 ： 天 下 始 终 ， 天 下 始 终 ，,0.2225252108443019,0.3566474914550781,0.7046157121658325
开 始 规 划 造 灵 台 ，,从 开 始 规 划 灵 台 ，,0.5,0.5400286316871643,0.8590185046195984
开 始 规 划 造 灵 台 ， 仔 细 营 造 巧 安 排 。,灵 台 是 经 始 的 ， 是 一 种 营 战 形 式 ， 比 较 小 规 模 ， 有 时 也 会 营 战 仗 着 兵 ，,4.2275552407847875e-155,0.23512625694274902,0.6147676110267639
开 始 规 划 造 灵 台 ， 仔 细 营 造 巧 安 排 。 天 下 百 姓 都 来 干 ，,灵 台 经 始 建 起 ， 灵 台 经 修 造 ， 百 姓 一 起 攻 击 着 他 ，,5.875710652399658e-155,0.31235235929489136,0.6626578569412231
仔 细 营 造 巧 安 排 。,答案：是 一 样 充 满 经 验 证 的 ，,0.0,0.2290945053100586,0.5519778728485107
仔 细 营 造 巧 安 排 。 天 下 百 姓 都 来 干 ，,简体中文：准 备 好 营 战 ， 百 姓 一 起 攻 击 ，,4.738973284711295e-155,0.37112754583358765,0.6134716868400574
仔 细 营 造 巧 安 排 。 天 下 百 姓 都 来 干 ， 几 天 建 成 速 度 快 。,准 备 好 营 战 ， 百 姓 一 起 攻 击 ， 不 会,3.0412750613112224e-155,0.14516578614711761,0.6090998649597168
天 下 百 姓 都 来 干 ，,大 众 百 姓 都 都 干 错 了,4.335118471269586e-78,0.4094155430793762,0.7714343667030334
天 下 百 姓 都 来 干 ， 几 天 建 成 速 度 快 。,庶 众 一 起 攻 击 ， 不 愈 改 变 一 天 就 能 成 功 。,1.2508498911928379e-231,0.362531453371048,0.6409533023834229
几 天 建 成 速 度 快 。,不 会 变 为 正 确 的 ， 这 是 一 种 不 正 确 的 。,8.972141065609098e-232,0.07024967670440674,0.5836045145988464
建 台 本 来 不 着 急 ，,古 代 文 言 文 化 的 表 达 方 式 ：,0.0,0.010545149445533752,0.5400599241256714
建 台 本 来 不 着 急 ， 百 姓 起 劲 自 动 来 ，,从 开 始 就 不 会 急 于 结 果 ， 百 姓 的 儿 子 们 来 到 灰 尸 废 墟 。,2.165414196653705e-78,0.22383803129196167,0.6239409446716309
百 姓 起 劲 自 动 来 ，,大 多 的 人 都,0.0,0.02506186068058014,0.543934166431427
国 王 游 览 灵 园 中 ，,文言文句子：王 宫 在 灵 园 里 ，,6.684949609530091e-155,0.5052497386932373,0.7000342607498169
国 王 游 览 灵 园 中 ， 母 鹿 伏 在 深 草 丛 。,简化,0.0,-0.0065378546714782715,0.4651862680912018
国 王 游 览 灵 园 中 ， 母 鹿 伏 在 深 草 丛 。 母 鹿 肥 大 毛 色 润 ，,现代汉语：王 室 待 在 灵 园 ， 麀 鹿 挟 住 ， 麀 鹿 洗 澡 ，,3.958014310460441e-155,0.2245441973209381,0.7131327390670776
母 鹿 伏 在 深 草 丛 。,麂 鹿 总 是 住 伏 在 山 丘 ，,6.373704167435469e-155,0.4875938296318054,0.7669286131858826
母 鹿 伏 在 深 草 丛 。 母 鹿 肥 大 毛 色 润 ，,�,0.0,0.10958460718393326,0.0
母 鹿 伏 在 深 草 丛 。 母 鹿 肥 大 毛 色 润 ， 白 鸟 洁 净 羽 毛 丰 。,现代汉语：麀 鹿 挟 住 ， 麂 鹿 挟 住 ， 白 鸟 鹤 鹤 。,1.7258937993987904e-78,0.19956447184085846,0.6511812806129456
母 鹿 肥 大 毛 色 润 ，,麂 麂 鹿 洗 澡 ，,9.918892480173173e-232,0.194883793592453,0.649966299533844
母 鹿 肥 大 毛 色 润 ， 白 鸟 洁 净 羽 毛 丰 。,现代汉语：麀 鹿 洗 澡 ， 白 鸟 鹤 鹤 。,2.30105126607408e-78,0.22638744115829468,0.6655146479606628
白 鸟 洁 净 羽 毛 丰 。,白 �,7.6272394159932085e-233,0.12969690561294556,0.5184899568557739
国 王 游 览 到 灵 沼 ，,周 武 王 住 下 在 灵 沼 池 里 ，,6.513869329968086e-155,0.43363451957702637,0.7603289484977722
国 王 游 览 到 灵 沼 ， 满 池 鱼 儿 欢 跳 跃 。,王 国 在 灵 沼 池 边 ， 牣 鱼 总 是 跃 跃 跃 跃 。,7.565682572361624e-155,0.6270523071289062,0.7468287944793701
满 池 鱼 儿 欢 跳 跃 。,现代汉语：牣 鱼 跃 到 他 所 谓 的 牣 鱼 池 。,1.384292958842266e-231,0.4174100160598755,0.6288461089134216
周 文 王 用 老 百 姓 的 劳 力 来 修 建 高 台 深 池 ，,文 王 使 晋 国 的 百 姓 作 为 台 下 ， 使 沼 池 成 功 。,6.937383209327784e-155,0.3335503339767456,0.7294790744781494
可 是 老 百 姓 非 常 高 兴 ，,而 普 通 的 百 姓 快 乐 ，,6.030654703641957e-155,0.4178791642189026,0.6828101277351379
可 是 老 百 姓 非 常 高 兴 ， 把 那 个 台 叫 做 灵 台 ，,文言文句子的意思是：而 人 民 快 乐 的 时 候 ， 叫 做 灵 台 ，,0.19468124777669177,0.546658992767334,0.6672583222389221
可 是 老 百 姓 非 常 高 兴 ， 把 那 个 台 叫 做 灵 台 ， 把 那 个 池 叫 做 灵 沼 ，,文言文句子的翻译结果为：而 人 民 快 乐 ， 称 其 台 池 为 灵 台 ， 称 其 池 池 为 灵 沼 ，,2.762531822783997e-78,0.5518532395362854,0.7105011940002441
把 那 个 台 叫 做 灵 台 ，,简化的,0.0,-0.0017877668142318726,0.5497021675109863
把 那 个 台 叫 做 灵 台 ， 把 那 个 池 叫 做 灵 沼 ，,叫 这 个 台 梳 台 梳 ， 叫 这 个 池 池 �,6.103799041556269e-155,0.40039342641830444,0.7700028419494629
把 那 个 台 叫 做 灵 台 ， 把 那 个 池 叫 做 灵 沼 ， 以 那 里 面 有 麋 鹿 鱼 鳖 等 珍 禽 异 兽 为 快 乐 。,叫 这,6.342268621877078e-239,0.08183268457651138,0.5145997405052185
把 那 个 池 叫 做 灵 沼 ，,现代汉语：彼 兄 弟 叫 做 灵 沼 ，,0.45622720708659226,0.3738762140274048,0.7226579189300537
把 那 个 池 叫 做 灵 沼 ， 以 那 里 面 有 麋 鹿 鱼 鳖 等 珍 禽 异 兽 为 快 乐 。,他 称 该 处 为 灵 ��,7.649797440699143e-233,0.15261690318584442,0.5846765637397766
以 那 里 面 有 麋 鹿 鱼 鳖 等 珍 禽 异 兽 为 快 乐 。,_____________________,0.0,0.08526435494422913,0.42076587677001953
古 代 的 君 王 与 民 同 乐 ，,古 代 的 君 王 与 百 姓 一 起 快 乐 ，,0.42803206067505944,0.7364330887794495,0.8749940395355225
古 代 的 君 王 与 民 同 乐 ， 所 以 能 真 正 快 乐 。,古 代 的 君 王 与 百 姓 一 起 快 乐 ， 所 以 能 够 快 乐 。,0.4797543511401896,0.7303365468978882,0.8907553553581238
所 以 能 真 正 快 乐 。,所 以 能 够 快 乐 的 。,5.87583260478785e-78,0.8052141666412354,0.8811749219894409
《 汤 誓 》 说 ：,汤 誓 鸿 雁 宾,6.867731683891005e-155,0.32025009393692017,0.66032475233078
《 汤 誓 》 说 ： 你 这 太 阳 啊 ， 什 么 时 候 毁 灭 呢 ？,张 汤 说 ： 你 呢 ？ 你 这 么 劲 呢 ？,2.634167618276471e-78,0.3275742530822754,0.6938954591751099
你 这 太 阳 啊 ， 什 么 时 候 毁 灭 呢 ？,现代汉语：时 间 害 怕 吗 ？,3.068394543398962e-232,0.20914748311042786,0.5884628891944885
我 宁 肯 与 你 一 起 毁 灭 ！,现代汉语：我 宁 可 停 下 来 一 笔 ， 却 不 能 宁 可 停 下 来 。,1.0518351895246305e-231,0.22096362709999084,0.6198297739028931
老 百 姓 恨 不 得 与 你 同 归 于 尽 ，,人 民 都 喜 欢 与 他 一 起 停 撼 ，,1.0709749285266912e-231,0.34165507555007935,0.6820204257965088
老 百 姓 恨 不 得 与 你 同 归 于 尽 ， 即 使 你 有 高 太 深 池 、 珍 禽 异 兽 ，,人 民 都 想 干 掉 他 们 ， 虽 然 有 台 岛 池 鸟 兽 ，,3.2347231689972287e-155,0.3045724630355835,0.7008209228515625
老 百 姓 恨 不 得 与 你 同 归 于 尽 ， 即 使 你 有 高 太 深 池 、 珍 禽 异 兽 ， 难 道 能 独 自 享 受 快 乐 吗 ？,人 民 都 想 与 你 一 起 停 执 在 台 边 ， 即 使 有 台 池 养 着 鸟 与 养 着 养 禽 ， 怎 么 能 够 唯 独 自 停 滞 呢 ？,2.143258041302851e-78,0.36051779985427856,0.7121555805206299
