translation,modern_translation,bleu_score,bleurt_score,bert_score
梁 惠 王 站 在 池 塘 边 上 ，,王站在沼地上。,0.0,0.4078971743583679,0.8253583908081055
梁 惠 王 站 在 池 塘 边 上 ， 一 面 顾 盼 着 鸿 雁 麋 鹿 ，,王站在沼地上，看到顺鸿雁鹿， 王站在沼地上，看到鸿雁鹿。,0.0,0.587620735168457,0.7329479455947876
梁 惠 王 站 在 池 塘 边 上 ， 一 面 顾 盼 着 鸿 雁 麋 鹿 ， 一 面 说 ：,王站在沼地上，看到顾鹿鸿雁，说：,0.0,0.6051143407821655,0.7793468236923218
一 面 顾 盼 着 鸿 雁 麋 鹿 ，,现代汉语：招鸿雁麋鹿，,0.0,0.4927706122398376,0.6899355053901672
一 面 顾 盼 着 鸿 雁 麋 鹿 ， 一 面 说 ：,现代汉语：考虑鸿雁麋鹿，说： 现代汉语：考虑鸿雁麋鹿，说： 现代汉语：考虑鸿雁麋鹿，说： 现代汉语：考虑鸿雁麋鹿，说： 现代汉语：,0.0,0.6796239018440247,0.6015470623970032
一 面 顾 盼 着 鸿 雁 麋 鹿 ， 一 面 说 ： 贤 人 也 以 此 为 乐 吗 ？,现代汉语：考虑鸿雁麋鹿，说：又贵这些动物吗？,0.0,0.2976133823394775,0.691836416721344
一 面 说 ：,说：,0.0,0.4079863429069519,0.7757657170295715
一 面 说 ： 贤 人 也 以 此 为 乐 吗 ？,现代汉语：说：又是谁的这个好吗？,0.0,0.3143193125724792,0.6294317245483398
贤 人 也 以 此 为 乐 吗 ？,现代汉语：总是愉快这样的事情吗？,0.0,0.4733946323394775,0.6371892690658569
孟 子 回 答 说 ：,孟子说：,0.0,0.7821238040924072,0.8784921169281006
孟 子 回 答 说 ： 正 因 为 是 贤 人 才 能 够 以 次 为 乐 ，,现代汉语：孟子说：“很适合贤人后来享受这样的事情。”,0.0,0.552655041217804,0.6597011089324951
孟 子 回 答 说 ： 正 因 为 是 贤 人 才 能 够 以 次 为 乐 ， 不 贤 的 人 就 算 有 这 些 东 西 ，,现代汉语：孟子说：“很适合贤人享受这样的事，即使不贤人也有这样的事。”,0.0,0.4189274907112121,0.7107642889022827
正 因 为 是 贤 人 才 能 够 以 次 为 乐 ，,现代汉语：才人后享受这样的事， 现代汉语：才人后享受这样的事。,0.0,0.5764015316963196,0.5528396368026733
正 因 为 是 贤 人 才 能 够 以 次 为 乐 ， 不 贤 的 人 就 算 有 这 些 东 西 ，,现代汉语：即使不贤的人也有这样的乐趣，但是贤的人当然会享受到更多的乐趣。,0.0,0.4548286199569702,0.6904675364494324
正 因 为 是 贤 人 才 能 够 以 次 为 乐 ， 不 贤 的 人 就 算 有 这 些 东 西 ， 也 不 能 够 快 乐 的 。,现代汉语：即使不贤的人也可能欣赏这样的事，但是贵于的人不会感到不满意。,0.0,0.3264570236206054,0.6872707605361938
